slot,load_mean,load_std,pv_mean,pv_std,price_realtime_mean,price_realtime_std,price_typical_mean,net_load_mean
0,3439.8466342465754,634.5571538667965,0.0,0.0,0.4248183561643835,0.0686575873810221,0.42479999999999996,3439.8466342465754
1,3437.979241369863,603.3679953926315,0.0,0.0,0.4245104109589041,0.06479366109186756,0.4245,3437.979241369863
2,3444.3030958904105,601.3839976090353,0.0,0.0,0.42693643835616435,0.06757329365031996,0.4269,3444.3030958904105
3,3454.443659726028,587.0427035551322,0.0,0.0,0.4272427397260274,0.06631357354591379,0.42719999999999997,3454.443659726028
4,3458.827338356164,583.9081809874874,0.0,0.0,0.42708684931506846,0.0646644750390729,0.4270999999999999,3458.827338356164
5,3459.8400547945207,590.8829554968564,0.0,0.0,0.4285232876712329,0.06475726299065339,0.4285,3459.8400547945207
6,3467.1581654794522,585.0832815532904,0.0,0.0,0.43110657534246577,0.06503587184758705,0.4311,3467.1581654794522
7,3467.963179726027,565.4936928662734,0.0,0.0,0.43015561643835615,0.06286438309607657,0.43019999999999997,3467.963179726027
8,3466.9682739726027,547.9185192347163,0.0,0.0,0.427938904109589,0.060220431793446355,0.4279,3466.9682739726027
9,3482.492672054794,547.2173595873329,0.0,0.0,0.43124493150684934,0.06104318015753518,0.4312,3482.492672054794
10,3495.0841010958907,546.5853382263016,0.0,0.0,0.4332564383561644,0.06263224640293243,0.4333,3495.0841010958907
11,3498.444301369863,542.898277629061,0.0,0.0,0.4310969863013699,0.06121807862252237,0.4311,3498.444301369863
12,3505.2294761643834,544.6585342340247,0.0,0.0,0.42934438356164384,0.06369806527040786,0.4293,3505.2294761643834
13,3512.638685479452,541.7011994660544,0.0,0.0,0.4323580821917808,0.06319280432367223,0.4324,3512.638685479452
14,3516.8684657534245,527.7954972380708,0.0,0.0,0.43668027397260273,0.05863726775911718,0.4367,3516.8684657534245
15,3517.924567945205,520.3853501569266,0.0,0.0,0.43480712328767124,0.05713581759646114,0.4348,3517.924567945205
16,3518.551812328767,521.5724398130226,0.0,0.0,0.4335205479452055,0.05888139260669137,0.4335,3518.551812328767
17,3521.097616438356,524.231800664119,0.0,0.0,0.4357235616438356,0.05980279031147364,0.4357,3521.097616438356
18,3526.926095068493,509.2989272415961,0.00017534246575342467,0.00047595503236604476,0.43741835616438357,0.05736537817076602,0.4374,3526.925919726027
19,3537.2853967123287,510.2379635730372,3.9726027397260274e-05,0.00022807105964870887,0.43707972602739725,0.058200877272678184,0.43709999999999993,3537.2853569863014
20,3544.8808493150686,523.1598663091278,0.0,0.0,0.4356424657534247,0.06021160013325216,0.4356,3544.8808493150686
21,3541.278698630137,519.8596101477028,0.003056986301369863,0.006787940721921289,0.43526904109589043,0.057763673519553645,0.4353,3541.2756416438356
22,3546.3976487671234,503.60123491809907,0.001176986301369863,0.003804005510726293,0.43601917808219176,0.055868324041362896,0.43599999999999994,3546.3964717808217
23,3560.2070136986304,501.5591747763378,0.0,0.0,0.4378254794520548,0.05934099293423219,0.43779999999999997,3560.2070136986304
24,3561.95808109589,508.28524739248303,0.04300739726027397,0.09441918473027719,0.4401183561643836,0.05769795373687226,0.44009999999999994,3561.9150736986303
25,3556.718350410959,513.4425382442085,0.016804931506849315,0.052893223124862644,0.43885315068493147,0.05741687945512703,0.4389,3556.7015454794523
26,3560.027205479452,513.2224864716968,0.0,0.0,0.4363734246575342,0.05999824475956367,0.4364,3560.027205479452
27,3580.6539621917805,508.67733374213327,0.5993561643835617,1.3149468122559829,0.43928410958904107,0.0603573330995419,0.4393,3580.0546060273973
28,3586.915965753424,502.54054721282023,0.23451835616438355,0.7365539748561618,0.4422408219178082,0.05744395600705247,0.4422,3586.6814473972604
29,3571.2634794520545,500.72297396216925,0.2884931506849315,1.375109370008773,0.43950356164383564,0.05710122603545718,0.43949999999999995,3570.9749863013703
30,3562.317054794521,514.5326210837463,18.678091506849313,40.8056811106186,0.4332564383561644,0.05872795909605186,0.4333,3543.6389632876712
31,3591.380909041096,524.4214703922543,54.46981589041096,102.13725763620103,0.44385479452054794,0.06043101516363649,0.4439,3536.9110931506852
