date,slot,load_kW,pv_actual_kW,price_realtime,price_typical,load_typical,pv_forecast_typical,issue_date,issue_time,lead_time_hours,pv_forecast_op_kW,month,dayofweek,is_weekend,season,net_load_actual_kW,net_load_forecast_kW,time_str
2025-01-01,0,3529.7296,0.0,0.4527,0.4248,3439.8466,0.0,,,,0.0,1,2,False,Winter,3529.7296,3529.7296,00:10
2025-01-01,1,3609.5287,0.0,0.4733,0.4245,3437.9792,0.0,,,,0.0,1,2,False,Winter,3609.5287,3609.5287,00:20
2025-01-01,2,3726.56,0.0,0.4843,0.4269,3444.3031,0.0,,,,0.0,1,2,False,Winter,3726.56,3726.56,00:30
2025-01-01,3,3510.6311,0.0,0.4541,0.4272,3454.4437,0.0,,,,0.0,1,2,False,Winter,3510.6311,3510.6311,00:40
2025-01-01,4,3502.5625,0.0,0.4266,0.4271,3458.8273,0.0,,,,0.0,1,2,False,Winter,3502.5625,3502.5625,00:50
2025-01-01,5,3787.01,0.0,0.4311,0.4285,3459.8401,0.0,2025-01-01,00:00:00,1.0,0.0,1,2,False,Winter,3787.01,3787.01,01:00
2025-01-01,6,3900.3205,0.0,0.4544,0.4311,3467.1582,0.0,2025-01-01,00:00:00,1.1666666666666667,0.0,1,2,False,Winter,3900.3205,3900.3205,01:10
2025-01-01,7,3916.8376,0.0,0.4483,0.4302,3467.9632,0.0,2025-01-01,00:00:00,1.3333333333333333,0.0,1,2,False,Winter,3916.8376,3916.8376,01:20
2025-01-01,8,3817.28,0.0,0.4251,0.4279,3466.9683,0.0,2025-01-01,00:00:00,1.5,0.0,1,2,False,Winter,3817.28,3817.28,01:30
2025-01-01,9,3533.0136,0.0,0.444,0.4312,3482.4927,0.0,2025-01-01,00:00:00,1.6666666666666667,0.0,1,2,False,Winter,3533.0136,3533.0136,01:40
2025-01-01,10,3694.6613,0.0,0.478,0.4333,3495.0841,0.0,2025-01-01,00:00:00,1.8333333333333333,0.0,1,2,False,Winter,3694.6613,3694.6613,01:50
2025-01-01,11,4064.73,0.0,0.4941,0.4311,3498.4443,0.0,2025-01-01,00:00:00,2.0,0.0,1,2,False,Winter,4064.73,4064.73,02:00
2025-01-01,12,3810.671,0.0,0.484,0.4293,3505.2295,0.0,2025-01-01,00:00:00,2.1666666666666665,0.0,1,2,False,Winter,3810.671,3810.671,02:10
2025-01-01,13,3844.9495,0.0,0.4751,0.4324,3512.6387,0.0,2025-01-01,00:00:00,2.3333333333333335,0.0,1,2,False,Winter,3844.9495,3844.9495,02:20
2025-01-01,14,4234.62,0.0,0.488,0.4367,3516.8685,0.0,2025-01-01,00:00:00,2.5,0.0,1,2,False,Winter,4234.62,4234.62,02:30
2025-01-01,15,4109.9755,0.0,0.5215,0.4348,3517.9246,0.0,2025-01-01,00:00:00,2.6666666666666665,0.0,1,2,False,Winter,4109.9755,4109.9755,02:40
2025-01-01,16,3996.8945,0.0,0.5498,0.4335,3518.5518,0.0,2025-01-01,00:00:00,2.8333333333333335,0.0,1,2,False,Winter,3996.8945,3996.8945,02:50
2025-01-01,17,4102.19,0.0,0.5471,0.4357,3521.0976,0.0,2025-01-01,00:00:00,3.0,0.0,1,2,False,Winter,4102.19,4102.19,03:00
2025-01-01,18,4086.0577,0.0,0.5067,0.4374,3526.9261,0.0,2025-01-01,00:00:00,3.1666666666666665,0.0,1,2,False,Winter,4086.0577,4086.0577,03:10
2025-01-01,19,4133.7626,0.0,0.4769,0.4371,3537.2854,0.0,2025-01-01,00:00:00,3.3333333333333335,0.0,1,2,False,Winter,4133.7626,4133.7626,03:20
