issue_date,issue_time,issue_datetime,target_date,target_slot,lead_time_hours,forecast_kW
2025-01-01,00:00:00,2025-01-01 00:00:00,2025-01-01,5,1.0,0.0
2025-01-01,00:00:00,2025-01-01 00:00:00,2025-01-01,6,1.1666666666666667,0.0
2025-01-01,00:00:00,2025-01-01 00:00:00,2025-01-01,7,1.3333333333333333,0.0
2025-01-01,00:00:00,2025-01-01 00:00:00,2025-01-01,8,1.5,0.0
2025-01-01,00:00:00,2025-01-01 00:00:00,2025-01-01,9,1.6666666666666667,0.0
2025-01-01,00:00:00,2025-01-01 00:00:00,2025-01-01,10,1.8333333333333333,0.0
2025-01-01,00:00:00,2025-01-01 00:00:00,2025-01-01,11,2.0,0.0
2025-01-01,00:00:00,2025-01-01 00:00:00,2025-01-01,12,2.1666666666666665,0.0
2025-01-01,00:00:00,2025-01-01 00:00:00,2025-01-01,13,2.3333333333333335,0.0
2025-01-01,00:00:00,2025-01-01 00:00:00,2025-01-01,14,2.5,0.0
2025-01-01,00:00:00,2025-01-01 00:00:00,2025-01-01,15,2.6666666666666665,0.0
2025-01-01,00:00:00,2025-01-01 00:00:00,2025-01-01,16,2.8333333333333335,0.0
2025-01-01,00:00:00,2025-01-01 00:00:00,2025-01-01,17,3.0,0.0
2025-01-01,00:00:00,2025-01-01 00:00:00,2025-01-01,18,3.1666666666666665,0.0
2025-01-01,00:00:00,2025-01-01 00:00:00,2025-01-01,19,3.3333333333333335,0.0
2025-01-01,00:00:00,2025-01-01 00:00:00,2025-01-01,20,3.5,0.0
2025-01-01,00:00:00,2025-01-01 00:00:00,2025-01-01,21,3.6666666666666665,0.0
2025-01-01,00:00:00,2025-01-01 00:00:00,2025-01-01,22,3.8333333333333335,0.0
2025-01-01,00:00:00,2025-01-01 00:00:00,2025-01-01,23,4.0,0.0
2025-01-01,00:00:00,2025-01-01 00:00:00,2025-01-01,24,4.166666666666667,0.0
2025-01-01,00:00:00,2025-01-01 00:00:00,2025-01-01,25,4.333333333333333,0.0
2025-01-01,00:00:00,2025-01-01 00:00:00,2025-01-01,26,4.5,0.0
2025-01-01,00:00:00,2025-01-01 00:00:00,2025-01-01,27,4.666666666666667,0.0
2025-01-01,00:00:00,2025-01-01 00:00:00,2025-01-01,28,4.833333333333333,0.0
2025-01-01,00:00:00,2025-01-01 00:00:00,2025-01-01,29,5.0,0.0
2025-01-01,00:00:00,2025-01-01 00:00:00,2025-01-01,30,5.166666666666667,0.0
2025-01-01,00:00:00,2025-01-01 00:00:00,2025-01-01,31,5.333333333333333,0.0
2025-01-01,00:00:00,2025-01-01 00:00:00,2025-01-01,32,5.5,0.0
